,name,ratio,k_size,max_dist,fidelity,n_segs,img_num
97,quickshift,0.01,3,1000,0.42646379734361556,55,12
98,quickshift,0.01,8,100,0.7206034795039614,8,12
99,quickshift,0.01,8,1000,0.7235343756082434,8,12
100,quickshift,0.2,3,100,0.5050313154400238,62,12
101,quickshift,0.2,3,1000,0.4679086929358713,62,12
102,quickshift,0.2,8,100,0.5914293490309989,9,12
103,quickshift,0.2,8,1000,0.5909198577572681,9,12
104,quickshift,0.01,3,100,0.1661487442760885,75,13
105,quickshift,0.01,3,1000,0.15770624920030474,75,13
106,quickshift,0.01,8,100,0.2501266094514544,8,13
107,quickshift,0.01,8,1000,0.26453215760508497,8,13
108,quickshift,0.2,3,100,0.20027143625335264,87,13
109,quickshift,0.2,3,1000,0.29448386642613666,87,13
110,quickshift,0.2,8,100,0.3793066057353764,8,13
111,quickshift,0.2,8,1000,0.3570177902756614,8,13
112,quickshift,0.01,3,100,0.13549429221957343,62,14
113,quickshift,0.01,3,1000,0.14874896919742497,62,14
114,quickshift,0.01,8,100,0.5534291238018707,8,14
115,quickshift,0.01,8,1000,0.5571359617492693,8,14
116,quickshift,0.2,3,100,0.15723139812031184,73,14
117,quickshift,0.2,3,1000,0.15556479101035314,73,14
118,quickshift,0.2,8,100,0.5451792894698206,9,14
119,quickshift,0.2,8,1000,0.5211188346818361,9,14
120,quickshift,0.01,3,100,0.14622594182696758,75,15
121,quickshift,0.01,3,1000,0.15987684418670434,75,15
122,quickshift,0.01,8,100,0.4482356255543106,10,15
123,quickshift,0.01,8,1000,0.4216196281550231,10,15
124,quickshift,0.2,3,100,0.17044965412929158,80,15
125,quickshift,0.2,3,1000,0.1648209622985517,80,15
126,quickshift,0.2,8,100,0.3365190283971766,11,15
127,quickshift,0.2,8,1000,0.3374193357088091,11,15
128,quickshift,0.01,3,100,0.43307880420553635,65,16
129,quickshift,0.01,3,1000,0.4140799287727808,65,16
130,quickshift,0.01,8,100,0.9998752101795728,4,16
131,quickshift,0.01,8,1000,0.9998591885440415,4,16
132,quickshift,0.2,3,100,0.3510151542117562,71,16
133,quickshift,0.2,3,1000,0.3536250235349554,71,16
134,quickshift,0.2,8,100,0.8956872657044804,5,16
135,quickshift,0.2,8,1000,0.9179348593023282,5,16
136,quickshift,0.01,3,100,0.12987808502803444,69,17
137,quickshift,0.01,3,1000,0.122684393338516,69,17
138,quickshift,0.01,8,100,0.1704158213010959,13,17
139,quickshift,0.01,8,1000,0.1506546637078532,13,17
140,quickshift,0.2,3,100,0.12981442229986773,72,17
141,quickshift,0.2,3,1000,0.1316128759476901,72,17
142,quickshift,0.2,8,100,0.18572059444717082,13,17
143,quickshift,0.2,8,1000,0.18461721999180591,13,17
144,quickshift,0.01,3,100,0.37049518541757975,72,18
145,quickshift,0.01,3,1000,0.3693505182988994,72,18
146,quickshift,0.01,8,100,0.6121862069313011,9,18
147,quickshift,0.01,8,1000,0.6276128701868562,9,18
148,quickshift,0.2,3,100,0.39637134292544063,70,18
149,quickshift,0.2,3,1000,0.427878439400305,70,18
150,quickshift,0.2,8,100,0.5997803773263503,10,18
151,quickshift,0.2,8,1000,0.5780933781484638,10,18
152,quickshift,0.01,3,100,0.12035861553162276,66,19
153,quickshift,0.01,3,1000,0.12017562237687329,66,19
154,quickshift,0.01,8,100,0.5212390190685436,9,19
155,quickshift,0.01,8,1000,0.4783647994897402,9,19
156,quickshift,0.2,3,100,0.11153737956179588,65,19
157,quickshift,0.2,3,1000,0.11491211752748688,65,19
158,quickshift,0.2,8,100,0.4681493429516729,10,19
159,quickshift,0.2,8,1000,0.47929212747433425,10,19
160,quickshift,0.01,3,100,0.2134097479031385,69,20
161,quickshift,0.01,3,1000,0.19391895119879632,69,20
162,quickshift,0.01,8,100,0.11967948175011765,10,20
163,quickshift,0.01,8,1000,0.11280128136957578,10,20
164,quickshift,0.2,3,100,0.2001146295655557,72,20
165,quickshift,0.2,3,1000,0.1843306549199668,72,20
166,quickshift,0.2,8,100,0.10397450052781088,10,20
167,quickshift,0.2,8,1000,0.101750641263614,10,20
