,name,sigma,scale,fidelity,n_segs,img_num
103,felzenszwalb,100,25,0.26699533773007256,1,25
104,felzenszwalb,10,10,0.23344172967307697,139,26
105,felzenszwalb,100,10,0.9990819078387311,2,26
106,felzenszwalb,10,25,0.19525653169061796,42,26
107,felzenszwalb,100,25,0.2695125432373431,1,26
108,felzenszwalb,10,10,0.2744039067012136,137,27
109,felzenszwalb,100,10,0.9998696765954426,2,27
110,felzenszwalb,10,25,0.3400526407654152,43,27
111,felzenszwalb,100,25,0.26192149078032334,1,27
112,felzenszwalb,10,10,0.13398445703567174,76,28
113,felzenszwalb,100,10,0.26513112568907615,149,28
114,felzenszwalb,10,25,0.37436625797746126,23,28
115,felzenszwalb,100,25,0.22621984921840385,118,28
116,felzenszwalb,10,10,0.18798864599013773,125,29
117,felzenszwalb,100,10,0.17316057189267353,95,29
118,felzenszwalb,10,25,0.19679101530541962,33,29
119,felzenszwalb,100,25,0.3580899111342767,27,29
120,felzenszwalb,10,10,0.2568134743070669,144,30
121,felzenszwalb,100,10,0.2973977995523557,164,30
122,felzenszwalb,10,25,0.3485510868024072,42,30
123,felzenszwalb,100,25,0.7045255852096635,125,30
124,felzenszwalb,10,10,0.16412347250574866,92,31
125,felzenszwalb,100,10,0.9990847480082944,2,31
126,felzenszwalb,10,25,0.12607013663998157,42,31
127,felzenszwalb,100,25,0.2695125432299771,1,31
128,felzenszwalb,10,10,0.22529217609568797,138,32
129,felzenszwalb,100,10,0.17484505310181253,97,32
130,felzenszwalb,10,25,0.28026775944062676,33,32
131,felzenszwalb,100,25,0.09587606544540872,53,32
132,felzenszwalb,10,10,0.20282889515048408,112,33
133,felzenszwalb,100,10,0.1722044231864237,97,33
134,felzenszwalb,10,25,0.05648060190684512,31,33
135,felzenszwalb,100,25,0.25464234249432016,1,33
136,felzenszwalb,10,10,0.13844074097680992,74,34
137,felzenszwalb,100,10,0.2640420148442505,1,34
138,felzenszwalb,10,25,0.18420087022940523,32,34
139,felzenszwalb,100,25,0.25291386870690247,1,34
140,felzenszwalb,10,10,0.1555949365040742,87,35
141,felzenszwalb,100,10,0.24167991146107626,141,35
142,felzenszwalb,10,25,0.14157298209837044,35,35
143,felzenszwalb,100,25,0.19788910601442244,110,35
144,felzenszwalb,10,10,0.29785089109848817,164,36
145,felzenszwalb,100,10,0.1659610495089976,101,36
146,felzenszwalb,10,25,0.2623237700842146,48,36
147,felzenszwalb,100,25,0.7568192214372209,3,36
148,felzenszwalb,10,10,0.4233599501136611,69,37
149,felzenszwalb,100,10,0.9998796115664659,3,37
150,felzenszwalb,10,25,0.4816682838762516,30,37
151,felzenszwalb,100,25,0.25765269530426393,1,37
152,felzenszwalb,10,10,0.09338647533949407,47,38
153,felzenszwalb,100,10,0.1956717206643147,112,38
154,felzenszwalb,10,25,0.3774245780515396,16,38
155,felzenszwalb,100,25,0.2614962798252012,1,38
156,felzenszwalb,10,10,0.21260932434231883,114,39
157,felzenszwalb,100,10,0.20602172457826917,108,39
158,felzenszwalb,10,25,0.11362466694912432,30,39
159,felzenszwalb,100,25,0.26277080529062147,1,39
160,felzenszwalb,10,10,0.1305930939327533,56,40
161,felzenszwalb,100,10,0.9997195375946819,2,40
162,felzenszwalb,10,25,0.2121150332480558,21,40
163,felzenszwalb,100,25,0.26488765116479707,1,40
164,felzenszwalb,10,10,0.24837886315823332,153,41
165,felzenszwalb,100,10,0.9998690979194483,2,41
166,felzenszwalb,10,25,0.49531760168391725,55,41
167,felzenszwalb,100,25,0.27034871228767954,1,41
168,felzenszwalb,10,10,0.25496031171935596,107,42
169,felzenszwalb,100,10,0.297475921350263,170,42
170,felzenszwalb,10,25,0.48180343131481895,53,42
171,felzenszwalb,100,25,0.24809911638050364,151,42
172,felzenszwalb,10,10,0.34356985261810413,56,43
173,felzenszwalb,100,10,0.9998724650142492,2,43
174,felzenszwalb,10,25,0.6411451780630266,17,43
175,felzenszwalb,100,25,0.2559347437928031,1,43
176,felzenszwalb,10,10,0.18173759141362766,59,44
177,felzenszwalb,100,10,0.3055100205759643,188,44
178,felzenszwalb,10,25,0.46620114921452604,20,44
179,felzenszwalb,100,25,0.27990518934044817,168,44
180,felzenszwalb,10,10,0.10522362960837249,58,45
181,felzenszwalb,100,10,0.14755525088391153,80,45
182,felzenszwalb,10,25,0.0389462437465431,20,45
183,felzenszwalb,100,25,0.26234633245143446,1,45
184,felzenszwalb,10,10,0.2945332677869166,176,46
185,felzenszwalb,100,10,0.9999055786475056,3,46
186,felzenszwalb,10,25,0.22292135421038195,60,46
187,felzenszwalb,100,25,0.26867492661946524,1,46
188,felzenszwalb,10,10,0.17882826057436385,96,47
189,felzenszwalb,100,10,0.2529138683089751,1,47
